numero,x_utm,y_utm,h,lnk,contadores
99,5000,0,0,-1.717078804,1
299,5000,101.010101,0,-0.902609745,1
2699,5000,1313.131313,0,-4.362380882,1
4199,5000,2070.707071,0,-3.051498715,1
5199,5000,2575.757576,0,-2.589600721,1
6199,5000,3080.808081,0,1.132691602,1
7599,5000,3787.878788,0,-4.079613598,1
9099,5000,4545.454545,0,-3.379807779,1
9697,4898.989899,4848.484848,0.011,-0.45359499,1
9396,4848.484848,4696.969697,0.035,-2.579802116,1
5598,4949.494949,2777.777778,0.044,0.798587693,1
5297,4898.989899,2626.262626,0.06,-3.404392481,1
1398,4949.494949,656.5656566,0.066,-0.776007186,1
5696,4848.484848,2828.282828,0.11,1.621603609,1
9692,4646.464646,4848.484848,0.117,-0.837502657,1
7097,4898.989899,3535.353535,0.139,-1.456802666,1
8097,4898.989899,4040.40404,0.169,-4.708699047,1
9589,4494.949495,4797.979798,0.178,-0.86031218,1
9788,4444.444444,4898.989899,0.188,-0.300294611,1
8292,4646.464646,4141.414141,0.29,-5.11699631,1
8980,4040.40404,4494.949495,0.329,-3.110290514,1
88,4444.444444,0,0.352,-1.694886874,1
7592,4646.464646,3787.878788,0.361,-2.469194731,1
5988,4444.444444,2979.79798,0.395,0.429507103,1
7389,4494.949495,3686.868687,0.426,-0.201100788,1
6186,4343.434343,3080.808081,0.544,0.851005265,1
8874,3737.373737,4444.444444,0.568,-3.27780345,1
484,4242.424242,202.020202,0.574,0.05704174,1
5686,4343.434343,2828.282828,0.581,-1.810025278,1
8769,3484.848485,4393.939394,1.084,-4.800200154,1
176,3838.383838,50.50505051,1.113,-4.036622974,1
2391,4595.959596,1161.616162,1.423,-3.942791539,1
7869,3484.848485,3939.393939,1.506,-1.387495082,1
1677,3888.888889,808.0808081,1.997,-3.251812325,1
7069,3484.848485,3535.353535,2.574,-3.320188987,1
3292,4646.464646,1616.161616,2.656,-4.822803944,1
8560,3030.30303,4292.929293,2.742,-3.84618845,1
170,3535.353535,50.50505051,4.965,-3.500907226,1
2982,4141.414141,1464.646465,5.028,-3.429998171,1
4585,4292.929293,2272.727273,5.697,-5.722384423,1
6364,3232.323232,3181.818182,6.211,1.04991212,1
3674,3737.373737,1818.181818,7.019,-2.025180655,1
5467,3383.838384,2727.272727,7.179,-2.525703645,1
2970,3535.353535,1464.646465,7.226,-1.594204532,1
3671,3585.858586,1818.181818,7.42,-2.800099703,1
1265,3282.828283,606.0606061,7.571,-3.478002835,1
5366,3333.333333,2676.767677,7.659,-1.14510659,1
4667,3383.838384,2323.232323,7.831,-0.46140074,1
2263,3181.818182,1111.111111,8.214,-1.240014576,1
2161,3080.808081,1060.606061,8.28,-0.715208757,1
3861,3080.808081,1919.191919,8.795,-3.216503641,1
7743,2171.717172,3888.888889,8.809,-5.3120918,1
1445,2272.727273,707.0707071,8.909,-0.71670244,1
4255,2777.777778,2121.212121,9.246,1.032686139,1
240,2020.20202,101.010101,9.268,-0.846508172,1
4746,2323.232323,2373.737374,9.425,1.510898524,1
3850,2525.252525,1919.191919,9.438,-1.562315805,1
6148,2424.242424,3080.808081,9.489,-1.032599854,1
532,1616.161616,252.5252525,9.522,-1.571612403,1
2743,2171.717172,1363.636364,9.769,-2.61339933,1
8441,2070.707071,4242.424242,9.779,-3.509495541,1
6038,1919.191919,3030.30303,9.967,0.842515012,1
2639,1969.69697,1313.131313,10.271,-1.190398684,1
8940,2020.20202,4494.949495,10.306,-4.487120519,1
329,1464.646465,151.5151515,10.379,-4.009194917,1
1730,1515.151515,858.5858586,11.147,-2.693097551,1
228,1414.141414,101.010101,11.164,-4.236922466,1
4431,1565.656566,2222.222222,11.569,-2.796701103,1
8023,1161.616162,4040.40404,11.694,-3.577695925,1
6623,1161.616162,3333.333333,11.758,-2.13681645,1
8923,1161.616162,4494.949495,11.804,-4.59869122,1
3437,1868.686869,1717.171717,12.016,-3.42408737,1
825,1262.626263,404.040404,12.278,-3.913073557,1
9119,959.5959596,4595.959596,12.372,-2.612403714,1
1628,1414.141414,808.0808081,12.499,-2.491496314,1
7120,1010.10101,3585.858586,12.521,-3.099605008,1
3136,1818.181818,1565.656566,12.752,0.268728585,1
1325,1262.626263,656.5656566,13.22,-3.579881562,1
8612,606.0606061,4343.434343,13.227,-4.95859328,1
5608,404.040404,2828.282828,14.618,-0.299903113,1
916,808.0808081,454.5454545,15.124,-4.701196622,1
5108,404.040404,2575.757576,15.213,-0.896806783,1
20,1010.10101,0,15.557,-1.551404881,1
3917,858.5858586,1969.69697,15.591,-0.48470314,1
3614,707.0707071,1818.181818,16.332,1.033611438,1
3414,707.0707071,1717.171717,16.528,0.043729763,1
2812,606.0606061,1414.141414,16.721,2.464618905,1
2410,505.0505051,1212.121212,16.771,5.307673461,1
3409,454.5454545,1717.171717,16.901,1.576708088,1
9604,202.020202,4848.484848,17.693,-5.188602346,1
3103,151.5151515,1565.656566,18.057,-1.648594628,1
1306,303.030303,656.5656566,18.113,-3.095309544,1
706,303.030303,353.5353535,18.143,-2.732291665,1
